registro_id,cell_index,anio,mes,anio_mes,asset_fuente,viirs_soporte_nativo_m,viirs_detecciones_todas_support_mean,viirs_detecciones_nominal_alta_support_mean,viirs_presencia_fuego_support_frac,viirs_presencia_fuego_nominal_alta_support_frac,viirs_frp_suma_observada_support_mean_mw,viirs_frp_maxima_support_mean_mw,viirs_dias_validos_support_mean,viirs_disponibilidad_support_pct,viirs_observado_support_mean,viirs_source_coverage_frac,viirs_observed_support_frac,viirs_evidencia_fuego_any,viirs_evidencia_fuego_nominal_alta_any,estrato_muestra,procedencia,fuente_primaria,unidad_analisis,datos_simulados,version_origen
VCM_0051,5029,2022,8,2022-08,VIIRS_PREP_2022_08,926.625433055833,0.365079365079365,0.365079365079365,0.365079365079365,0.365079365079365,4.052381091647678,4.052381091647678,21.0,67.74193572998047,1.0,1.0,1.0,1,1,con_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0052,6594,2022,8,2022-08,VIIRS_PREP_2022_08,926.625433055833,0.1617647058823529,0.1617647058823529,0.1617647058823529,0.1617647058823529,0.938235324971816,0.938235324971816,21.0,67.74193572998047,1.0,1.0,1.0,1,1,con_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0053,6595,2022,8,2022-08,VIIRS_PREP_2022_08,926.625433055833,0.75,0.75,0.75,0.75,4.350000143051148,4.350000143051148,21.0,67.74193572998047,1.0,1.0,1.0,1,1,con_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0054,3821,2022,10,2022-10,VIIRS_PREP_2022_10,926.625433055833,0.0823529411764705,0.0823529411764705,0.0823529411764705,0.0823529411764705,1.6470588235294117,1.6470588235294117,31.0,100.0,1.0,1.0,1.0,1,1,con_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0055,5436,2022,10,2022-10,VIIRS_PREP_2022_10,926.625433055833,0.6176470588235294,0.6176470588235294,0.6176470588235294,0.6176470588235294,15.19411788267248,15.19411788267248,31.0,100.0,1.0,1.0,1.0,1,1,con_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0056,5508,2022,10,2022-10,VIIRS_PREP_2022_10,926.625433055833,0.1470588235294117,0.1470588235294117,0.1470588235294117,0.1470588235294117,3.617647114922019,3.617647114922019,31.0,100.0,1.0,1.0,1.0,1,1,con_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0057,5658,2022,10,2022-10,VIIRS_PREP_2022_10,926.625433055833,0.6764705882352942,0.6764705882352942,0.6764705882352942,0.6764705882352942,16.641176728641284,16.641176728641284,31.0,100.0,1.0,1.0,1.0,1,1,con_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0058,1576,2022,11,2022-11,VIIRS_PREP_2022_11,926.625433055833,0.2794117647058823,0.2794117647058823,0.2794117647058823,0.2794117647058823,2.458823582705329,2.458823582705329,30.0,100.0,1.0,1.0,1.0,1,1,con_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0059,3232,2022,11,2022-11,VIIRS_PREP_2022_11,926.625433055833,0.6,0.6,0.6,0.6,5.039999771118164,5.039999771118164,30.0,100.0,1.0,1.0,1.0,1,1,con_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0060,5535,2022,12,2022-12,VIIRS_PREP_2022_12,926.625433055833,0.8,0.8,0.8,0.8,4.800000000000001,4.800000000000001,31.0,100.0,1.0,1.0,1.0,1,1,con_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0061,880,2023,1,2023-01,VIIRS_PREP_2023_01,926.625433055833,0.0,0.0,0.0,0.0,0.0,0.0,31.0,100.0,1.0,1.0,1.0,0,0,sin_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0062,571,2023,2,2023-02,VIIRS_PREP_2023_02,926.625433055833,0.0,0.0,0.0,0.0,0.0,0.0,28.0,100.0,1.0,1.0,1.0,0,0,sin_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0063,5608,2023,2,2023-02,VIIRS_PREP_2023_02,926.625433055833,0.0,0.0,0.0,0.0,0.0,0.0,28.0,100.0,1.0,1.0,1.0,0,0,sin_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
